MODEL,SERIAL_NO,STATUS,Year Installed,RECIEVE_DATE,Warranty,RMA No.,Price
EG-600WR,KG391K538,4A] Waiting for Parts,2023,11/15/2023 13:36,Yes,FMSV2023110032,No found
EC-530WI,3C591A036,3] PARTS SELECTION,2013,8/21/2023 17:21,No,FMSV2023080076," $4,394 "
ED-530XT,SD102A089,3] PARTS SELECTION,2013,8/30/2023 12:33,No,FMSV2023080097," $2,262 "
EG-530WR,4G361A316,3] PARTS SELECTION,2013,9/30/2023 8:34,No,FMSV2023090232," $8,720 "
EN-450T5,RC361A105,3] PARTS SELECTION,2013,9/30/2023 8:33,No,FMSV2023090230," $11,487 "
VP-4450HD,3V567D030,3] PARTS SELECTION,2013,9/28/2023 18:27,No,FMSV2023090250," $10,376 "
VP-4450HD,3V567D038,3] PARTS SELECTION,2013,9/30/2023 8:33,No,FMSV2023090227," $10,376 "
XL-4450,3S094D030,3] PARTS SELECTION,2013,9/28/2023 18:27,No,FMSV2023090249," $3,621 "
XL-4450,3S094D038,3] PARTS SELECTION,2013,9/30/2023 8:33,No,FMSV2023090228," $1,323 "
EG-590WR,1G348K318,3] PARTS SELECTION,2014,9/28/2023 18:24,No,FMSV2023090233," $6,876 "
EG-590WR,5G348A636,3] PARTS SELECTION,2014,9/28/2023 18:25,No,FMSV2023090242," $8,953 "
EG-600WR,1G391K323,3] PARTS SELECTION,2014,9/28/2023 17:20,No,FMSV2023090197," $14,220 "
EC-530WL3,1C643K192,3] PARTS SELECTION,2015,8/21/2023 17:23,No,FMSV2023080078," $8,128 "
EC-590WI,1C607K008,3] PARTS SELECTION,2015,8/7/2023 13:45,No,FMSV2023080020," $3,260 "
EC-590WI,1C607K025,2] INSPECTION,2015,11/15/2023 13:30,No,FMSV2023110028," $3,592 "
EC-600WI,1C692K144,3] PARTS SELECTION,2015,9/28/2023 18:26,No,FMSV2023090247," $6,098 "
EC-600WI,1C692K269,3] PARTS SELECTION,2015,9/28/2023 17:17,No,FMSV2023090189," $15,056 "
EG-530WR,1G361K609,3] PARTS SELECTION,2015,9/28/2023 17:19,No,FMSV2023090194," $9,023 "
EG-530WR,1G361K617,3] PARTS SELECTION,2015,9/28/2023 18:33,No,FMSV2023090287," $7,953 "
EG-590WR,1G348K456,3] PARTS SELECTION,2015,9/28/2023 17:20,No,FMSV2023090198," $9,957 "
EG-590WR,1G348K457,3] PARTS SELECTION,2015,9/28/2023 17:28,No,FMSV2023090199," $9,248 "
EG-590WR,1G348K458,3] PARTS SELECTION,2015,9/28/2023 17:14,No,FMSV2023090181," $5,074 "
EG-590WR,1G348K513,3] PARTS SELECTION,2015,9/28/2023 18:24,No,FMSV2023090235," $9,248 "
EG-590WR,1G348K514,3] PARTS SELECTION,2015,9/28/2023 18:25,No,FMSV2023090238," $6,882 "
EG-590WR,1G348K547,3] PARTS SELECTION,2015,9/28/2023 18:25,No,FMSV2023090240," $9,248 "
EC-600WI,1C692K598,3] PARTS SELECTION,2016,9/28/2023 18:24,No,FMSV2023090234," $13,894 "
EC-600WI,1C692K645,3] PARTS SELECTION,2016,9/30/2023 8:32,No,FMSV2023090223," $6,939 "
EG-600WR,2G391K305,3] PARTS SELECTION,2016,9/28/2023 18:33,No,FMSV2023090282," $11,084 "
EG-600WR,2G391K315,3] PARTS SELECTION,2016,9/28/2023 18:25,No,FMSV2023090241," $2,786 "
EG-600WR,2G391K372,3] PARTS SELECTION,2016,9/30/2023 8:33,No,FMSV2023090225," $5,295 "
EG-600WR,2G391K410,3] PARTS SELECTION,2016,9/28/2023 18:28,No,FMSV2023090259," $4,613 "
EG-600WR,2G391K411,3] PARTS SELECTION,2016,9/28/2023 18:17,No,FMSV2023090222, No Parts 
EC-600WI,1C692K861,3] PARTS SELECTION,2018,9/28/2023 17:17,No,FMSV2023090190," $12,463 "
EC-600WI,1C692K870,3] PARTS SELECTION,2018,9/30/2023 8:33,No,FMSV2023090229," $3,835 "
EG-600WR,2G391K825,3] PARTS SELECTION,2018,9/28/2023 18:29,No,FMSV2023090261," $6,622 "
EG-600WR,2G391K858,3] PARTS SELECTION,2018,9/28/2023 16:56,No,FMSV2023090109," $3,580 "
EG-600WR,2G391K861,3] PARTS SELECTION,2018,9/28/2023 18:29,No,FMSV2023090260," $8,491 "
EC-590WL4,1C666K565,3] PARTS SELECTION,2019,9/28/2023 16:58,No,FMSV2023090123," $5,545 "
EC-590WL4,1C666K566,3] PARTS SELECTION,2019,9/28/2023 17:16,No,FMSV2023090185," $5,539 "
EC-590WL4,1C666K567,6] QC,2019,11/15/2023 13:23,No,FMSV2023110024, No found 
EC-590WL4,1C666K568,3] PARTS SELECTION,2019,9/28/2023 17:19,No,FMSV2023090195," $5,736 "
EG-590WR,2G348K611,3] PARTS SELECTION,2019,9/28/2023 18:24,No,FMSV2023090236," $2,468 "
EG-590WR,2G348K618,3] PARTS SELECTION,2019,9/30/2023 8:34,No,FMSV2023090231," $5,203 "
EC-600WI,3C692K101,3] PARTS SELECTION,2020,8/7/2023 15:53,No,FMSV2023080024," $13,374 "
EG-600WR,8G391K041,3] PARTS SELECTION,2020,9/28/2023 16:59,No,FMSV2023090129," $11,708 "
EG-600WR,8G391K044,3] PARTS SELECTION,2020,9/28/2023 16:56,No,FMSV2023090107," $2,527 "
VP-7000,5V644K138,3] PARTS SELECTION,2020,9/30/2023 8:35,No,FMSV2023090226," $1,844 "
EC-600WI,5C692K022,3] PARTS SELECTION,2021,9/8/2023 13:59,No,FMSV2023090014, $228 
EC-600WI,5C692K072,3] PARTS SELECTION,2021,9/28/2023 18:32,No,FMSV2023090279," $3,727 "
EC-600WI,5C692K087,3] PARTS SELECTION,2021,8/7/2023 13:44,No,FMSV2023080018," $5,100 "
EC-600WI,5C692K088,3] PARTS SELECTION,2021,9/28/2023 17:16,No,FMSV2023090186," $4,008 "
EC-600WI,6C692K033,3] PARTS SELECTION,2021,9/28/2023 17:11,No,FMSV2023090172," $3,727 "
EC-600WI,6C692K126,3] PARTS SELECTION,2021,9/28/2023 16:56,No,FMSV2023090108," $5,753 "
EC-600WI,6C692K127,3] PARTS SELECTION,2021,8/7/2023 13:43,No,FMSV2023080016," $4,254 "
EC-600WI,6C692K128,3] PARTS SELECTION,2021,9/28/2023 16:56,No,FMSV2023090112," $4,671 "
EC-600WI,6C692K129,3] PARTS SELECTION,2021,9/28/2023 18:32,No,FMSV2023090277," $3,774 "
EC-600WI,6C692K130,3] PARTS SELECTION,2021,9/28/2023 17:10,No,FMSV2023090171," $5,570 "
EC-600WI,6C692K137,3] PARTS SELECTION,2021,9/8/2023 13:58,No,FMSV2023090013," $14,762 "
EC-600WI,6C692K196,3] PARTS SELECTION,2021,11/15/2023 12:47,No,FMSV2023110022, No Parts 
EC-600WI,6C692K197,6] QC,2021,11/15/2023 12:48,No,FMSV2023110023, No found 
EC-600WI,6C692K198,2] INSPECTION,2021,11/15/2023 13:27,No,FMSV2023110027, $430 
EC-600WI,6C692K200,3] PARTS SELECTION,2021,9/28/2023 18:28,No,FMSV2023090258," $5,361 "
EC-720R/I,3C741K101,3] PARTS SELECTION,2021,8/21/2023 17:24,No,FMSV2023080079," $4,789 "
ED-580XT,3D127K338,3] PARTS SELECTION,2021,9/28/2023 16:14,No,FMSV2023090091," $2,808 "
ED-580XT,3D127K339,3] PARTS SELECTION,2021,9/28/2023 17:01,No,FMSV2023090141," $1,347 "
EG-580NW2,5G390K014,3] PARTS SELECTION,2021,9/28/2023 17:18,No,FMSV2023090191," $8,575 "
EG-580NW2,6G390K093,3] PARTS SELECTION,2021,9/28/2023 17:12,No,FMSV2023090176," $10,181 "
EG-600WR,7G391K097,3] PARTS SELECTION,2021,9/28/2023 18:29,No,FMSV2023090262," $12,517 "
EG-600WR,7G391K123,3] PARTS SELECTION,2021,8/7/2023 13:42,No,FMSV2023080014," $3,963 "
EG-600WR,7G391K124,3] PARTS SELECTION,2021,9/28/2023 17:18,No,FMSV2023090193," $2,273 "
EG-600WR,7G391K125,3] PARTS SELECTION,2021,9/28/2023 18:31,No,FMSV2023090275," $4,810 "
EG-600WR,7G391K126,3] PARTS SELECTION,2021,9/28/2023 17:18,No,FMSV2023090192," $11,643 "
EG-600WR,7G391K127,3] PARTS SELECTION,2021,9/28/2023 17:14,No,FMSV2023090182," $2,557 "
EG-600WR,7G391K154,3] PARTS SELECTION,2021,9/28/2023 18:26,No,FMSV2023090248," $2,614 "
EG-600WR,7G391K156,3] PARTS SELECTION,2021,9/28/2023 18:30,No,FMSV2023090268," $9,380 "
EG-600WR,7G391K344,3] PARTS SELECTION,2021,8/21/2023 17:20,No,FMSV2023080075," $8,264 "
EG-600WR,7G391K347,3] PARTS SELECTION,2021,9/28/2023 18:32,No,FMSV2023090278," $11,649 "
EG-600WR,8G391K367,2] INSPECTION,2021,11/15/2023 13:25,No,FMSV2023110026," $14,091 "
EG-600WR,8G391K369,3] PARTS SELECTION,2021,9/21/2023 15:32,No,FMSV2023090049," $4,480 "
EG-600WR,8G391K370,2] INSPECTION,2021,11/15/2023 13:24,No,FMSV2023110025," $3,406 "
EG-600WR,8G391K371,3] PARTS SELECTION,2021,9/28/2023 18:28,No,FMSV2023090254," $10,764 "
EG-600WR,8G391K372,3] PARTS SELECTION,2021,9/28/2023 17:15,No,FMSV2023090183," $1,950 "
EG-600WR,8G391K373,3] PARTS SELECTION,2021,9/28/2023 17:13,No,FMSV2023090179," $5,477 "
EG-600WR,8G391K374,3] PARTS SELECTION,2021,9/28/2023 16:58,No,FMSV2023090120," $3,174 "
EG-600WR,8G391K375,2] INSPECTION,2021,11/15/2023 13:31,No,FMSV2023110029, $521 
EG-600WR,8G391K377,3] PARTS SELECTION,2021,9/8/2023 13:57,No,FMSV2023090012," $3,627 "
EG-600WR,8G391K379,3] PARTS SELECTION,2021,9/28/2023 18:30,No,FMSV2023090269," $10,672 "
EG-600WR,8G391K380,3] PARTS SELECTION,2021,9/28/2023 17:15,No,FMSV2023090184," $2,280 "
EG-600WR,8G391K381,3] PARTS SELECTION,2021,9/28/2023 17:08,No,FMSV2023090164," $3,094 "
EG-600WR,8G391K423,3] PARTS SELECTION,2021,9/28/2023 16:57,No,FMSV2023090118," $4,873 "
EG-600WR,8G391K425,3] PARTS SELECTION,2021,8/7/2023 13:42,No,FMSV2023080015," $3,250 "
EG-600WR,8G391K427,3] PARTS SELECTION,2021,9/28/2023 17:09,No,FMSV2023090165," $1,942 "
EG-600WR,8G391K428,3] PARTS SELECTION,2021,9/28/2023 16:58,No,FMSV2023090121," $4,516 "
EG-600WR,8G391K429,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090130," $15,119 "
EG-600WR,8G391K430,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090128," $4,516 "
EG-600WR,8G391K431,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090131," $10,789 "
EG-600WR,8G391K432,3] PARTS SELECTION,2021,8/21/2023 17:19,No,FMSV2023080074," $4,978 "
EG-600WR,8G391K433,6] QC,2021,11/15/2023 13:32,No,FMSV2023110030, No found 
EG-600WR,8G391K437,3] PARTS SELECTION,2021,9/28/2023 17:10,No,FMSV2023090170," $10,507 "
EG-720R,3G412K081,3] PARTS SELECTION,2021,9/28/2023 17:09,No,FMSV2023090166," $3,266 "
EG-600WR,KG391K535,3] PARTS SELECTION,2023,11/15/2023 13:33,Yes,FMSV2023110031," $1,916 "
EG-600WR,KG391K536,4A] Waiting for Parts,2023,9/8/2023 13:56,Yes,FMSV2023090011,No found
